// Add info commands in custom menu
// Colors:
// 1 - Gold
// 2 - White
// 3 - Orange
// 4 - Red
// 5 - Green
// 6 - Yellow
// 7 - Purple
/////////////////////////////////////////////////////////////////////////////////////////
//	#ID	#Color	#CommandInfo 		 	#InfoCommand	
	0	1	"/Setpass <123>"		    "Chát Với Chủ Nhóm 123 Để PT"			
	1	2	"/Post <Msg>"			    "Chat Toàn Thế Giới"		
	2	3	"/Addstr <Điểm>"		    "Cộng Điểm Cho Sức Mạnh"				
	3	3	"/Addagi <Điểm>"		    "Cộng Điểm Cho Nhanh Nhẹn"				
	4	3	"/Addvit <Điểm>"		    "Cộng Điểm Cho Thể Lực"				
	5	3	"/Addene <Điểm>"		    "Cộng Điểm Cho Nhanh Nhẹn"				
	6	3	"/Addcmd <Điểm>"		    "Cộng Điểm Cho Mệnh Lệnh (DL)"				
	7	4	"/Pkclear <Xóa PK>"		    "Xóa Tội Khi PK"				
	8	5	"/Nv2"				        "Để Làm Max Nhiệm Vụ"				
	9	6	"/Reset"				    "Reset Nhân Vật"		
	10	7	"/Reset auto"				"Reset Tự Động"			
	11	1	"/Xoado"				    "Xóa Toàn Bộ Hòm Đồ"				
	12	6	"/Taydiem"				    "Tẩy Toàn Bộ Điểm Class"	

end
