0
//Index   Message
0         "保护完成方式不正确"
1         "无法重新连接"
2         "无法连接到游戏服务器！！"
3         "响应时间过长"
4         "无法开始连接到服务器"
5         "版权归: %s"
6         "无法连接到服务器"
7         "超过允许的响应时间！"
8         "Main文件已被修改！"
9         "版本无效"
10        "您已被暂时屏蔽，请稍后重试！"
11        "您被服务器禁止连接 (1)" //Block HWID
12        "您被服务器禁止连接 (2)" //Block IP
13        "无法接收信息"
14        "[1] 检测到潜在恶意软件！" //Dump
15        "[2] 检测到潜在恶意软件！" //Exc
16        "有文件已被修改！" //CheckSum
17        "[3] 检测到潜在恶意软件！" //Maping
18        "[4] 检测到潜在恶意软件！" //LIBRARY
19        "[5] 检测到潜在恶意软件！" //regedit
20        "[6] 检测到游戏内存已被修改！" //memory inject
21        "服务器断开连接"
22        "[7] 检测到潜在恶意软件！"
23        "[8] 检测到无效模块！" //dll inject
24        "检测到自动键盘程序"
25        "检测到调试器"
29        "请以管理员身份运行应用程序"
30        "出现问题！请重新启动应用程序"
31        "限制main.exe！"
32        "游戏仅能在实体机上运行，请勿使用虚拟机！"
end

1
//Index   Message
0         "Protection was completed incorrectly"
1         "Unable to restart the connection"
2         "The connection to the game was lost"
3         "Response time exceeded"
4         "Could not start the connection"
5         "Licensed to: %s"
6         "Could not connect to the server"
7         "Exhausted response time"
8         "Client files corrupted"
9         "Invalid version"
10        "You are temporarily blocked"
11        "You are blocked"
12        "You are blocked"
13        "Unable to receive information"
14        "Suspected executions were found"
15        "Suspected executions were found"
16        "Required files have changed"
17        "Suspected executions were found"
18        "Suspected executions were found"
19        "A possible threat was detected"
20        "Improper memory change detected"
21        "An attempt of cheating was detected"
22        "A possible threat was detected"
23        "Improper alteration detected"
24        "Keyboard automation program detected"
25        "A debugger was detected"
29        "Please run application: Run as administrator"
30        "Something went wrong! Restart application please"
31        "Limiting main.exe!"
32        "Anti Virtual Machine"
end

2
//Index   Message
0         "Protection was completed incorrectly"
1         "Unable to restart the connection"
2         "The connection to the game was lost"
3         "Response time exceeded"
4         "Could not start the connection"
5         "Licensed to: %s"
6         "Could not connect to the server"
7         "Exhausted response time"
8         "Client files corrupted"
9         "Invalid version"
10        "You are temporarily blocked"
11        "You are blocked"
12        "You are blocked"
13        "Unable to receive information"
14        "Suspected executions were found"
15        "Suspected executions were found"
16        "Required files have changed"
17        "Suspected executions were found"
18        "Suspected executions were found"
19        "A possible threat was detected"
20        "Improper memory change detected"
21        "An attempt of cheating was detected"
22        "A possible threat was detected"
23        "Improper alteration detected"
24        "Keyboard automation program detected"
25        "A debugger was detected"
29        "Please run application: Run as administrator"
30        "Something went wrong! Restart application please"
31        "Limiting main.exe!"
32        "Anti Virtual Machine"
end
