//=====================================================================
// Edited by Willian Bento
// Programmer Takumi12
// Files CastleSiegeMU
// PET  Glow
//=====================================================================
//Index	Type	Effect  ColorR	ColorG	ColorB
//=====================================================================
	6911		7		70		255		255		255	
	6911		3		70		40		40		40	
	6911		2		70		50		124		171	
	6911		1		2		255		255		255	
	6911		0		70		0		191		255	

	6912		1		70		94		94		153	
	6912		2		2		255		255		255	
	6912		2		2		255		255		255	
	6912		2		2		255		255		255	
	6912		0		70		94		94		153
 
	6913		0		66		255		255		255
	6913		0		576		125		125		125
	6913		2		66		50		50		50
	6913		3		68		63		63		63

	6914		1		70		94		94		153	
	6914		2		2		255		255		255	
	6914		2		2		255		255		255	
	6914		2		2		255		255		255	
	6914		0		70		94		94		153
	
	6856		1		70		94		94		153	
	6856		2		2		255		255		255	
	6856		2		2		255		255		255	
	6856		2		2		255		255		255	
	6856		0		70		94		94		153
end
