//===============================================================================================================
// MasterCodex Season 6 - Mu Online
// Developer: MasterCodex [takumi12]
// Last review: 02.20.2020
//===============================================================================================================
// CustomGloves Config File
//===============================================================================================================
// Agregar archivos en: [Data/Item]
//===============================================================================================================
//GlovesID	  Model			LeftIndex	LeftModel			RightIndex		RightModel        	ColorR	ColorG	ColorB		name
46	    	"血天使Clo"		400级级		"血天使Clo_L"		401	 		"血天使Clo_R"     255		197		 57        // 血神之爪
56			"之剑39"			402		"之剑39_L"				403			"之剑39_R"		  	  184       039      010		// 暗神之爪
59			"之剑40"			404		"之剑40_L"				405			"之剑40_R"			  10		10		 10			// 圣神之爪
60			"之剑41"			406		"之剑41_L"				407			"之剑41_R"			  255 		48 		 48		// 天子之爪
61			"之剑42"			408		"之剑42_L"				409			"之剑42_R"			  253		255		 119		// 天子之爪 lv2
64			"之剑43"			410		"之剑43_L"				411			"之剑43_R"			  239		154		 70			// 觉醒之爪
80			"之剑44"			412		"之剑44_L"				413			"之剑44_R"			  127		127		 127		// 蓝眼之爪
52			"之剑37"			414		"之剑37_L"				415			"之剑37_R"			  71        163      233		// 潘塔之爪 
53			"之剑38"			416		"之剑38_L"				417			"之剑38_R"			  229       178	     114		// 毁灭之爪
81			"PrickleGlove"		420		"PrickleGlove_left"		421			"PrickleGlove_right"		  255		48		 48			// 400级级血龙之爪
83			"之剑45"			418		"之剑45_L"				419			"之剑45_R"			  78 		17 		166		// 银心之爪
100			"之剑102"			422	    "之剑L102"				423			"之剑R102"			  10        10		 10			// 护卫之爪
end
