//	IncDmg = ( IncDmgA + (ItemLVL * IncDmgB) )-100
//		55 =  ( X + 30 ) - 100 ( X = 125)
//		64 =  ( X + 30 ) - 100 ( X = 134)
//		69 =  ( X + 30 ) - 100 ( X = 139)
//		74 =  ( X + 30 ) - 100 ( X = 144)
//	DecDmg = 100 - ( DecDmgA - (ItemLVL * DecDmgB) )
//		55 = 100 - ( Y - 30) (Y =  75)
//		64 = 100 - ( Y - 30) (Y =  66)
//		69 = 100 - ( Y - 30) (Y = 61)
//		74 = 100 - ( Y - 30) (Y = 56)
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	Opt1	Opt1	Opt2	Opt2	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName
//Wing 2.5
1		6294	4		120		2		75		2		80		4		85		1		83		4		106		4		108		4		107		4		111		4		0			"Wing281"       
2		6295	4		120		2		75		2		80		4		85		1		83		4		106		4		108		4		107		4		111		4		0			"Wing282"       
3		6296	4		120		2		75		2		80		4		85		1		83		4		106		4		108		4		107		4		111		4		0			"Wing283"       

//2.5 DL, RF                                                                                                                                                                                        
6		6299	4		120		2		75		2		80		4		85		1		83		4		106		4		108		4		107		4		111		4		1			"Wing280"	
//Wing 4                                                                                                                                                                                            
7		6300	4		130		2		71		2		80		4		85		1		83		4		106		8		108		8		107		8		111		8		0			"Wing401"		
8		6301	4		130		2		71		2		80		4		85		1		83		4		106		8		108		8		107		8		111		8		0			"Wing402"		
9		6302	4		130		2		71		2		80		4		85		1		83		4		106		8		108		8		107		8		111		8		0			"Wing403"		
10		6303	4		130		2		71		2		80		4		85		1		83		4		106		8		108		8		107		8		111		8		0			"Wing404"		
11		6304	4		130		2		71		2		80		4		85		1		83		4		106		8		108		8		107		8		111		8		1			"Wing405"		
12		6305	4		130		2		71		2		80		4		85		1		83		4		106		8		108		8		107		8		111		8		0			"Wing406"		
13		6306	4		130		2		71		2		80		4		85		1		83		4		106		8		108		8		107		8		111		8		1			"Wing407"		


end
