//|================================================================|
//| GoldMU.net Chỉnh sửa Cash Shop                                 |
//| Credit: GoldMU/MU Online                          [GoldMU.net] |
//|================================================================|
//Cat	ID	Main	Item	Coin	Price	Bonus	PBase1	PBase2	PBase3	PBase4	PBase5	PBase6	PBase7	PBase8	PBase9	PBase10	PMain1	PMain2	PMain3	PMain4	PMain5	PMain6	PMain7	PMain8	PMain9	PMain10	Comment
31	122	122	1	508	50000	0	1220	0	0	0	0	0	0	0	0	0	1220	0	0	0	0	0	0	0	0	0	// Mở Rộng Thùng Đồ
31	125	125	1	508	100000	0	1250	0	0	0	0	0	0	0	0	0	1250	0	0	0	0	0	0	0	0	0	// Mở Rộng Thùng Đồ Chung
32	103	103	1	508	10000	0	1030	0	0	0	0	0	0	0	0	0	1030	0	0	0	0	0	0	0	0	0	// Bùa Thiên Sứ
32	106	106	1	508	5000	0	1060	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	// Bùa King Nghiệm
32	109	109	1	508	10000	0	1090	0	0	0	0	0	0	0	0	0	1090	0	0	0	0	0	0	0	0	0	// Bùa Master
32	110	110	1	508	15000	0	1100	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0	0	0	0	0	// Bùa Siêu Master
33	116	116	1	508	30000	0	1160	0	0	0	0	0	0	0	0	0	1160	0	0	0	0	0	0	0	0	0	// Bùa Tốc Độ
33	117	117	1	508	30000	0	1170	0	0	0	0	0	0	0	0	0	1170	0	0	0	0	0	0	0	0	0	// Bùa Phòng Thủ
33	118	118	1	508	30000	0	1180	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0	0	// Bùa Tấn Công
33	119	119	1	508	30000	0	1190	0	0	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	0	0	0	// Bùa HP
33	120	120	1	508	30000	0	1200	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	// Bùa Phép Thuật
33	123	123	1	508	30000	0	1230	0	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	// Bùa Chí Mạng
33	124	124	1	508	30000	0	1240	0	0	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	// Bùa Hoàn Hảo
34	113	113	1	508	10000	0	1130	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0	0	0	0	0	// Ruby Necklace
34	115	115	1	508	10000	0	1150	0	0	0	0	0	0	0	0	0	1150	0	0	0	0	0	0	0	0	0	// Ruby Ring
35	102	102	1	508	10000	0	1020	0	0	0	0	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	0	// Đại Quỷ
35	107	107	1	508	5000	0	1070	0	0	0	0	0	0	0	0	0	1070	0	0	0	0	0	0	0	0	0	// Gấu Trúc
35	108	108	1	508	5000	0	1080	0	0	0	0	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0	// Panda Ring
35	111	111	1	508	5000	0	1110	0	0	0	0	0	0	0	0	0	1110	0	0	0	0	0	0	0	0	0	// Rồng xương
35	112	112	1	508	10000	0	1120	0	0	0	0	0	0	0	0	0	1120	0	0	0	0	0	0	0	0	0	// Nhẫn xương
37	104	104	1	508	5000	0	1040	0	0	0	0	0	0	0	0	0	1040	0	0	0	0	0	0	0	0	0	// Vé Quảng Trường Quỷ
37	105	105	1	508	5000	0	1050	0	0	0	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	// Vé Huyết Lâu
end
