//=======================================================
// GameServer Ver: 2b.1.0.0
// ------------------------------------------------------
// Description: BOT_BUFFER Settings eX803
// -  ---------------------------------------------------
// -  Revision: 	17:37 04.07.2016
// -
// - Add : PerfectionMu ( Callejero )
// - ====================================================
// - ColorName Max: 7
// - AL  = This bot is only for VIP users
// - Class    = 0,1,2	DW,SM,GM  = 16,17,52	DK,BK,BM  = 32,33,34	Elf,ME,HE
// -	      = 48,49,50 MG,DM    = 64,65,66	DL,LE     = 80,81,82	SU,BS,DS
// -
// - GensFamily (1 Vanert, 2 Duprian)
// - Attention: if or if put 10 letters in the names of the Bot
//======================================================================================
//BotIndex	Class	Enabled	 ColorName	Zen	PCPoint	MaxLvl	   Name		Map	X	Y	Dir
1
0			52		 1	    	3		100		0	400		"xKEN"	0	132	124 3
1			52		 1	    	3		100		0	400		"xKEN"	0	132	125 3
2			52		 1	    	3		100		0	400		"xKEN"	0	132	126 3
3			52		 1	    	3		100		0	400		"xKEN"	0	132	127 3
4			52		 1	    	3		100		0	400		"xKEN"	0	132	128 3
5			52		 1	    	3		100		0	400		"xKEN"	0	132	129 3
6			52		 1	    	3		100		0	400		"xKEN"	0	132	130 3
7			52		 1	    	3		100		0	400		"xKEN"	0	132	131 3
8			52		 1	    	3		100		0	400		"xKEN"	0	132	132 3
9			52		 1	    	3		100		0	400		"xKEN"	0	133	124 3
10			52		 1	    	3		100		0	400		"xKEN"	0	133	125 3
11			52		 1	    	3		100		0	400		"xKEN"	0	133	126 3
12			52		 1	    	3		100		0	400		"xKEN"	0	133	127 3
13			52		 1	    	3		100		0	400		"xKEN"	0	133	128 3
14			52		 1	    	3		100		0	400		"xKEN"	0	133	129 3
15			52		 1	    	3		100		0	400		"xKEN"	0	133	130 3
17			52		 1	    	3		100		0	400		"xKEN"	0	133	131 3
18			52		 1	    	3		100		0	400		"xKEN"	0	133	132 3
19			52		 1	    	3		100		0	400		"xKEN"	0	134	124 3
20			52		 1	    	3		100		0	400		"xKEN"	0	134	125 3
21			52		 1	    	3		100		0	400		"xKEN"	0	134	126 3
22			52		 1	    	3		100		0	400		"xKEN"	0	134	127 3
23			52		 1	    	3		100		0	400		"xKEN"	0	134	128 3
24			52		 1	    	3		100		0	400		"xKEN"	0	134	129 3
25			52		 1	    	3		100		0	400		"xKEN"	0	134	130 3
26			52		 1	    	3		100		0	400		"xKEN"	0	134	131 3
27			52		 1	    	3		100		0	400		"xKEN"	0	134	132 3
28			52		 1	    	3		100		0	400		"xKEN"	0	135	124 3
29			52		 1	    	3		100		0	400		"xKEN"	0	135	125 3


end

// -   Bot	Only	Active!		GensReq		Gens
// -   Index	_AL	ReqGens		Contribution	Family
2
	0	0	   0	  100		0
	1	0	   0	  100		0
	2	0	   0	  100		0


end

// - 0 = Sword	1 = Shield	2 = Helm	3 = Armor	
// - 4 = Pants	5 = Gloves	6 = Boots	7 = Wings	8 = Pet

// - BotIndex	Slot	Type	Index	Level	Opt
3

	0	2	7	21	13	15
	0	3	8	21	13	15
	0	4	9	21	13	15
	0	5	10	21	13	15
	0	6	10	21	13	15
	0	7	12	5	13	15

	1	2	7	21	13	15
	1	3	8	21	13	15
	1	4	9	21	13	15
	1	5	10	21	13	15
	1	6	10	21	13	15
	1	7	12	5	13	15
	
	2	2	7	21	13	15
	2	3	8	21	13	15
	2	4	9	21	13	15
	2	5	10	21	13	15
	2	6	10	21	13	15
	2	7	12	5	13	15
	
	3	2	7	21	13	15
	3	3	8	21	13	15
	3	4	9	21	13	15
	3	5	10	21	13	15
	3	6	10	21	13	15
	3	7	12	5	13	15
	
	4	2	7	21	13	15
	4	3	8	21	13	15
	4	4	9	21	13	15
	4	5	10	21	13	15
	4	6	10	21	13	15
	4	7	12	5	13	15
	
	5	2	7	21	13	15
	5	3	8	21	13	15
	5	4	9	21	13	15
	5	5	10	21	13	15
	5	6	10	21	13	15
	
	6	2	7	21	13	15
	6	3	8	21	13	15
	6	4	9	21	13	15
	6	5	10	21	13	15
	6	6	10	21	13	15
	
	7	2	7	21	13	15
	7	3	8	21	13	15
	7	4	9	21	13	15
	7	5	10	21	13	15
	7	6	10	21	13	15
	
	8	2	7	21	13	15
	8	3	8	21	13	15
	8	4	9	21	13	15
	8	5	10	21	13	15
	8	6	10	21	13	15
	
	9	2	7	21	13	15
	9	3	8	21	13	15
	9	4	9	21	13	15
	9	5	10	21	13	15
	9	6	10	21	13	15
	
	10	2	7	21	13	15
	10	3	8	21	13	15
	10	4	9	21	13	15
	10	5	10	21	13	15
	10	6	10	21	13	15
	
	11	2	7	21	13	15
	11	3	8	21	13	15
	11	4	9	21	13	15
	11	5	10	21	13	15
	11	6	10	21	13	15
	
	12	2	7	21	13	15
	12	3	8	21	13	15
	12	4	9	21	13	15
	12	5	10	21	13	15
	12	6	10	21	13	15
	
	13	2	7	21	13	15
	13	3	8	21	13	15
	13	4	9	21	13	15
	13	5	10	21	13	15
	13	6	10	21	13	15
	
	14	2	7	21	13	15
	14	3	8	21	13	15
	14	4	9	21	13	15
	14	5	10	21	13	15
	14	6	10	21	13	15
	
	15	2	7	21	13	15
	15	3	8	21	13	15
	15	4	9	21	13	15
	15	5	10	21	13	15
	15	6	10	21	13	15

	16	2	7	21	13	15
	16	3	8	21	13	15
	16	4	9	21	13	15
	16	5	10	21	13	15
	16	6	10	21	13	15

	17	2	7	21	13	15
	17	3	8	21	13	15
	17	4	9	21	13	15
	17	5	10	21	13	15
	17	6	10	21	13	15	

	18	2	7	21	13	15
	18	3	8	21	13	15
	18	4	9	21	13	15
	18	5	10	21	13	15
	18	6	10	21	13	15
	
	19	2	7	21	13	15
	19	3	8	21	13	15
	19	4	9	21	13	15
	19	5	10	21	13	15
	19	6	10	21	13	15

	20	2	7	21	13	15
	20	3	8	21	13	15
	20	4	9	21	13	15
	20	5	10	21	13	15
	20	6	10	21	13	15

	21	2	7	21	13	15
	21	3	8	21	13	15
	21	4	9	21	13	15
	21	5	10	21	13	15
	21	6	10	21	13	15

	22	2	7	21	13	15
	22	3	8	21	13	15
	22	4	9	21	13	15
	22	5	10	21	13	15
	22	6	10	21	13	15

	23	2	7	21	13	15
	23	3	8	21	13	15
	23	4	9	21	13	15
	23	5	10	21	13	15
	23	6	10	21	13	15

	24	2	7	21	13	15
	24	3	8	21	13	15
	24	4	9	21	13	15
	24	5	10	21	13	15
	24	6	10	21	13	15

	25	2	7	21	13	15
	25	3	8	21	13	15
	25	4	9	21	13	15
	25	5	10	21	13	15
	25	6	10	21	13	15

	25	2	7	21	13	15
	25	3	8	21	13	15
	25	4	9	21	13	15
	25	5	10	21	13	15
	25	6	10	21	13	15	
	25	7	12	5	13	15	
	

	26	2	7	21	13	15
	26	3	8	21	13	15
	26	4	9	21	13	15
	26	5	10	21	13	15
	26	6	10	21	13	15	
	26	7	12	5	13	15	


	27	2	7	21	13	15
	27	3	8	21	13	15
	27	4	9	21	13	15
	27	5	10	21	13	15
	27	6	10	21	13	15	
	27	7	12	5	13	15	


	28	2	7	21	13	15
	28	3	8	21	13	15
	28	4	9	21	13	15
	28	5	10	21	13	15
	28	6	10	21	13	15	
	28	7	12	5	13	15	


	29	2	7	21	13	15
	29	3	8	21	13	15
	29	4	9	21	13	15
	29	5	10	21	13	15
	29	6	10	21	13	15	
	29	7	12	5	13	15
	
end

