//=================================================================================================================
// 自定义自动问答系统
//=================================================================================================================
0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
0         *      *       *     *     *      10       0
end

1
//Index   Name                       提醒时间   活动时间
0         "问答活动"                        3           3
end


//=================================================================================================================
// 问题
//=================================================================================================================
//  ID  	->  问题ID
//  WC 		->  WCoinC奖励
//  WP      	->  WCoinP奖励
//  GP      	->  Goblin Point奖励
//  Question   	->  问题
//  Answer   	->  答案
//=================================================================================================================
// 注意: 避免在答案中使用带重音符号的字符。
//=================================================================================================================
//=================================================================================================================
//       #ID     #WC     #WP	 #GP         #Question				      		        #Answer
//=================================================================================================================
2
		  0      10       0       0	     "奇迹MU是什么类型的游戏？"					"MMORPG"
		  1      10       0       0	     "10+2x2=?"							"14"
		  2      10       0       0	     "游戏官网是什么？"					"www.seusite.com"
		  3      10       0       0	     "世界上最伟大的科学家之一？"			"爱因斯坦"
		  4      10       0       0	     "巴西获得过几次世界杯冠军？"			"5"
		  5      10       0       0	     "MU Online是哪一年发布的？"			"2003"
		  6      10       0       0	     "游戏管理员的角色名是什么？"			"TesteADM"
		  7      10       0       0	     "服务器的确切名称是什么？"				"Seu Servidor"
		  8      10       0       0	     "新玩家通常被称为什么？"				"新手"
		  9      10       0       0	     "巴西有多少个州？"					"26"
		  10     10       0       0	     "意大利位于哪个洲？"				"欧洲"
end
