//=================================================================================================================
//-- 排名称号配置
//=================================================================================================================
//  RankIndex ->  排名索引
//  Name      ->  称号名称
//  ResetMin  ->  达到该称号所需最少重置次数
//  ResetMin  ->  达到该称号所需最大重置次数
//  Cash      ->  达到该称号奖励的现金
//  Gold      ->  达到该称号奖励的金币
//  PcPoint   ->  达到该称号奖励的点数
//=================================================================================================================
//-- 注意: 最后一个称号的 ResetMax 必须为 (-1)
//=================================================================================================================

//=================================================================================================================
//     #RankIndex          #Name            #ResetMin        #ResetMax       #Cash      #Gold     #PcPoint
//=================================================================================================================
0
            0            "新手"                0               50               0          0           0
            1            "学徒"               51               100              2          0           0
            2            "信使"               101              150              2          0           0
            3            "猎人"               151              200              2          0           0
            4            "刺客"               201              250              2          0           0
            5            "弓箭手"             251              300              2          0           0
            6            "枪兵"               301              350              2          0           0
            7            "骑士"               351              400              2          0           0
            8            "士兵"               401              450              2          0           0
            9            "法师"               451              500              2          0           0
            10           "战士"               501              550              2          0           0
            11           "角斗士"             551              600              2          0           0
            12           "将军"               601              650              2          0           0
            13           "战斗大师"           651              700              2          0           0
            14           "解放者"             701              750              2          0           0
            15           "领主"               751              800              2          0           0
            16           "神话"               801              850              2          0           0
            17           "半神"               851              900              2          0           0
            18           "不朽"               901              950              2          0           0
            19           "阿尔法"             951              1000             2          0           0
            20           "英雄"               1001             1100             2          0           0
            21           "至高"               1101             -1               2          0           0
end
