//Section	Type	StatType	OptionIndex1	OptionIndex2	Name
0			2		3			21				0           //Trường Kiếm
0			14		3			11				0           //Kiếm Điện
0			17		3			57				0           //Thiên Ma Kiếm
0			31		3			60				0           //Ảo Ảnh Đao
0			32		3			37				38          //Nắm đấm Địa Long
0			33		3			56				0           //Nắm đấm Bạch Hổ
0			34		3			63				0           //Nắm đấm Quyền Lực
2			1		3			1				0           //Chùy Gai
2			11		3			61				0           //Trượng Kim Cương
4			5		3			29				0           //Cung Bạc
4			9		3			23				0           //Nỏ Vàng
4			17		3			59				0           //Cung Thiên Mệnh
5			0		3			13				0           //Gậy Xương
5			8		3			51				0           //Gậy Hủy Diệt
5			9		3			0				47          //Gậy Triệu Hồn
5			18		3			0				51          //Khuyển Xích Quỷ
6			0		3			0				2           //Khiên Tròn
6			6		3			17				0           //Khiên Xương
6			9		3			5				0           //Khiên Gia Huy
6			12		3			50				0           //Khiên Ngưu Vương
7			0		3			4				0           //Mũ Đồng
7			1		3			11				12          //Mũ Hỏa Long
7			2		3			13				14          //Mũ Vải Thô
7			3		3			19				20          //Mũ Ma Thuật
7			4		3			0				16          //Mũ Xương
7			5		3			1				2           //Mũ Da
7			6		3			5				6           //Mũ Trâu Xanh
7			7		3			17				0           //Mũ Nhân Sư
7			8		3			8				0           //Mũ Thiên Kim
7			9		3			10				9           //Mũ Thiết Phiến
7			10		3			21				22          //Mũ Trinh Nữ
7			11		3			23				0           //Mũ Lụa
7			12		3			25				0           //Mũ Thiên Thanh
7			13		3			0				28          //Mũ Ngọc Bích
7			14		3			0				30          //Mũ Kim Ngân
7			17		3			57				0           //Mũ Phượng Hoàng
7			21		3			64				0           //Mũ Thần Long
7			22		3			65				0           //Mũ Ma Vương
7			24		3			66				0           //Mũ Thánh Nữ
7			26		3			33				0           //Mũ Huyền Thiết
7			28		3			68				0           //Mũ Chí Tôn
7			29		3			71				0           //Mũ Quyền Năng
7			30		3			72				0           //Mũ Thần Ma
7			31		3			73				0           //Mũ Thái Bình
7			33		3			75				0           //Mũ Thái Dương
7			36		3			52				0           //Mũ Nữ Thần
7			40		3			35				36          //Mũ Hỏa Thiên
7			42		3			69				0           //Mũ Phục Ma
7			43		3			76				0           //Mũ Bão Điện
7			45		3			78				0           //Mũ Titan
7			46		3			79				0           //Mũ Hoàng Long
7			49		3			82				0           //Mũ Thiên Vũ
7			50		3			83				0           //Mũ Anh Vũ
7			51		3			84				0           //Mũ Đế Vương
7			52		3			85				0           //Mũ Quỷ Vương
7			53		3			86				0           //Mũ Chiêm Tinh
7			59		3			37				0           //Mũ Địa Long
7			61		3			70				0           //Mũ Quyền Lực
7			62		3			39				0           //Mũ Trâu Xanh
7			63		3			40				0           //Mũ Lụa
7			64		3			41				0           //Mũ Nhân Sư
7			65		3			42				0           //Mũ Thuật Sĩ
7			66		3			43				0           //Mũ Huyền Thiết
7			67		3			44				0           //Mũ Hỏa Long
7			68		3			45				0           //Mũ Kim Ngân
7			69		3			46				0           //Mũ Ma Thuật
7			70		3			47				0           //Mũ Hỏa Thiên
7			72		3			49				0           //Mũ Bạch Hổ
