//Section   Type   MaxSocket
0           19     5
0           26     5
0           27     5
0           28     5
0           29     5
0           30     5
0           36     5
0           37     5
0           38     5
0           41     5
0           42     5
0           43     5
0           44     5
0           45     5
0           46     5
0           47     5
0           48     5
0           49     5
0           50     5
0           51     5
0           52     5
0           53     5
0           54     5
0           55     5
0           56     5
0           57     5
0           58     5
0           59     5
0           60     5
0           61     5
0           62     5
0           63     5
0           64     5
0           65     5
0           66     5
0           67     5
0           68     5
0           69     5
0           70     5
0           71     5
0           72     5
0           73     5
0           74     5
0           75     5
0           76     5
0           77     5
0           78     5
0           79     5
0           80     5
0           81     5
0           82     5
0           83     5
0           84     5
0           85     5
0           86     5
0           87     5
0           88     5
0           89     5
0           90     5
0           91     5
0           92     5
0           93     5
0           94     5
0           95     5
0           96     5
0           97     5
0           98     5
0           99     5
0           100    5

2			13	   5
2			17	   5
2           19     5
2           20     5
2           21     5
2           22     5
2           23     5
2           24     5
2           25     5
2           26     5
2           27     5
2           28     5
2           29     5
2           30     5
2           31     5
2           32     5
2           33     5
2           34     5
2           35     5
2           36     5
2           37     5
2           38     5
2           39     5
2           40     5
2           41     5
2           42     5
2           43     5
2           44     5
2           45     5
2           46     5
2           47     5
2           48     5
2           49     5
2           50     5

3           11     5
3           12     5
3           14     5
3           15     5
3           16     5
3           17     5
3           18     5
3           19     5
3           22     5
3           23     5
3           24     5
3           25     5
3           26     5
3           27     5
3           28     5
3           29     5
3           30     5
3           31     5
3           32     5
3           33     5
3           34     5
3           35     5
3           36     5
3           37     5
3           38     5
3           39     5
3           40     5

4	        07     5
4	        15     5
4	        18     5
4	        23     5
4	        24     5
4	        25     5
4	        26     5
4	        28     5
4	        30     5
4	        31     5
4	        36     5
4	        38     5
4	        40     5
4	        42     5

5           10     5
5           12     5
5           22     5
5           23     5
5           24     5
5           25     5
5           26     5
5           27     5
5           28     5
5           29     5


5           30     5
5           31     5
5           32     5
5           33     5
5           34     5
5           35     5
5           36     5
5           37     5
5           38     5
5           41     5
5           43     5
5           45     5
5           49     5
5           50     5
5           51     5
5           52     5
5           53     5
5           54     5
5           55     5
5           56     5
5           61     5
5           62     5
5           64     5
5           65     5


6           17     5
6           18     5
6           19     5
6           20     5
6           22     5
6           23     5
6           24     5
6           25     5
6           26     5
6           30     5
6           31     5
6           32     5
6           33     5
6           34     5
6           35     5
6           36     5
6           37     5
6           38     5
6           39     5
6           40     5
6           41     5
6           42     5
6           43     5
6           44     5
6           45     5
6           46     5
6           47     5
6           48     5
6           49     5

6           50     5
6           51     5
6           52     5
6           53     5
6           54     5
6           55     5
6           56     5
6           57     5
6           58     5
6           59     5
6           61     5
6           62     5
6           63     5
6           64     5
6           65     5
6           66     5
6           67     5
6           68     5
6           69     5
6           70     5
6           71     5
6           72     5
6           73     5
6           74     5
6           75     5


7			77		5
8			77		5
9			77		5
10			77		5
11			77		5

7			43		5
8			43		5
9			43		5
10			43		5
11			43		5

7			32		5
8			32		5
9			32		5
10			32		5
11			32		5

7			31		5
8			31		5
9			31		5
10			31		5
11			31		5

7			33		5
8			33		5
9			33		5
10			33		5
11			33		5

7			29		5
8			29		5
9			29		5
10			29		5
11			29		5

7			30		5
8			30		5
9			30		5
10			30		5
11			30		5

7			73		5
8			73		5
9			73		5
10			73		5
11			73		5

7			230		5
8			230		5
9			230		5
10			230		5
11			230		5

7			231		5
8			231		5
9			231		5
10			231		5
11			231		5


7           44      5
7           45      5
7           46      5
7           47      5
7           48      5
7           49      5
7           50      5
7           51      5
7           52      5
7           53      5
7           54      5
7           55      5
7           56      5
7           58      5
7           74      5
7           75      5
7           86      5
7           87      5
7           88      5
7           89      5
7           90      5
7           91      5
7           92      5
7           93      5
7           94      5
7           95      5
7           96      5
7           97      5
7           98      5
7           99      5
7           100     5
7           101     5
7           102     5
7           103     5
7           104     5
7           105     5
7           106     5
7           107     5
7           108     5
7           109     5
7           110     5
7           111     5
7           112     5
7           113     5
7           114     5
7           115     5
7           116     5
7           117     5
7           118     5
7           119     5
7           120     5
7           121     5
7           122     5
7           123     5
7           124     5
7           125     5
7           126     5
7           127     5
7           128     5
7           129     5
7           130     5
7           131     5
7           132     5
7           133     5
7           134     5
7           135     5
7           136     5
7           137     5
7           138     5
7           139     5
7           140     5
7           141     5
7           142     5
7           143     5
7           144     5
7           145     5
7           146     5
7           147     5
7           148     5
7           149     5
7           150     5
7           151     5
7           152     5
7           153     5
7           154     5
7           155     5
7           156     5
7           157     5
7           158     5
7           159     5
7           160     5
7           161     5
7           162     5
7           163     5
7           164     5
7           165     5
7           166     5
7           167     5
7           168     5
7           169     5
7           170     5
7           171     5
7           172     5
7           173     5
7           174     5
7           175     5
7           176     5
7           177     5
7           178     5
7           179     5
7           180     5
7           181     5
7           182     5
7           183     5
7           184     5
7           185     5
7           186     5
7           187     5
7           188     5
7           189     5
7           190     5
7           191     5
7           192     5
7           193     5
7           194     5
7           195     5
7           196     5
7           197     5
7           198     5
7           199     5
7           200     5
7           201     5
7           202     5
7           203     5
7           204     5
7           205     5
7           206     5
7           207     5
7           208     5
7           209     5
7           210     5

7           211     5
7           212     5
7           213     5
7           214     5
7           215     5
7           216     5
7           217     5
7           218     5
7           219     5
7           220     5
7           221     5
7           222     5
7           223     5
7           224     5
7           225     5
7           226     5
7           227     5
7           228     5
7           229     5
7           230     5
7           232     5
7           233     5
7           234     5
7           235     5
7           236     5
7           237     5
7           238     5
7           239     5
7           240     5
7           241     5
7           242     5
7           243     5
7           244     5
7           245     5
7           246     5
7           247     5
7           248     5
7           249     5
7           250     5
7           251     5
7           252     5
7           253     5
7           254     5
7           255     5
7           256     5
7           257     5
7           258     5
7           259     5
7           260     5






8           44     5
8           45     5
8           46     5
8           47     5
8           48     5
8           49     5
8           50     5
8           51     5
8           52     5
8           53     5
8           54     5
8           55     5
8           56     5
8           57     5
8           58     5
8           74     5
8           75     5
8           76     5



8           86     5
8           87     5
8           88     5
8           89     5
8           90     5
8           91     5
8           92     5
8           93     5
8           94     5
8           95     5
8           96     5
8           97     5
8           98     5
8           99     5
8           100     5
8           101     5
8           102     5
8           103     5
8           104     5
8           105     5
8           106     5
8           107     5
8           108     5
8           109     5
8           110     5
8           111     5
8           112     5
8           113     5
8           114     5
8           115     5
8           116     5
8           117     5
8           118     5
8           119     5
8           120     5
8           121     5
8           122     5
8           123     5
8           124     5
8           125     5
8           126     5
8           127     5
8           128     5
8           129     5
8           130     5
8           131     5
8           132     5
8           133     5
8           134     5
8           135     5
8           136     5
8           137     5
8           138     5
8           139     5
8           140     5
8           141     5
8           142     5
8           143     5
8           144     5
8           145     5
8           146     5
8           147     5
8           148     5
8           149     5
8           150     5
8           151     5
8           152     5
8           153     5
8           154     5
8           155     5
8           156     5
8           157     5
8           158     5
8           159     5
8           160     5
8           161     5
8           162     5
8           163     5
8           164     5
8           165     5
8           166     5
8           167     5
8           168     5
8           169     5
8           170     5
8           171     5
8           172     5
8           173     5
8           174     5
8           175     5
8           176     5
8           177     5
8           178     5
8           179     5
8           180     5
8           181     5
8           182     5
8           183     5
8           184     5
8           185     5
8           186     5
8           187     5
8           188     5
8           189     5
8           190     5
8           191     5
8           192     5
8           193     5
8           194     5
8           195     5
8           196     5
8           197     5
8           198     5
8           199     5
8           200     5
8           201     5
8           202     5
8           203     5
8           204     5
8           205     5
8           206     5
8           207     5
8           208     5
8           209     5
8           210     5


8           211     5
8           212     5
8           213     5
8           214     5
8           215     5
8           216     5
8           217     5
8           218     5
8           219     5
8           220     5
8           221     5
8           222     5
8           223     5
8           224     5
8           225     5
8           226     5
8           227     5
8           228     5
8           229     5
8           230     5
8           232     5
8           233     5
8           234     5
8           235     5
8           236     5
8           237     5
8           238     5
8           239     5
8           240     5
8           241     5
8           242     5
8           243     5
8           244     5
8           245     5
8           246     5
8           247     5
8           248     5
8           249     5
8           250     5
8           251     5
8           252     5
8           253     5
8           254     5
8           255     5
8           256     5
8           257     5
8           258     5
8           259     5
8           260     5





9           44     5
9           45     5
9           46     5
9           47     5
9           48     5
9           49     5
9           50     5
9           51     5
9           52     5
9           53     5
9           54     5
9           55     5
9           56     5
9           57     5
9           58     5
9           74     5
9           75     5
9           76     5


9           86     5
9           87     5
9           88     5
9           89     5
9           90     5
9           91     5
9           92     5
9           93     5
9           94     5
9           95     5
9           96     5
9           97     5
9           98     5
9           99     5
9           100     5
9           101     5
9           102     5
9           103     5
9           104     5
9           105     5
9           106     5
9           107     5
9           108     5
9           109     5
9           110     5
9           111     5
9           112     5
9           113     5
9           114     5
9           115     5
9           116     5
9           117     5
9           118     5
9           119     5
9           120     5
9           121     5
9           122     5
9           123     5
9           124     5
9           125     5
9           126     5
9           127     5
9           128     5
9           129     5
9           130     5
9           131     5
9           132     5
9           133     5
9           134     5
9           135     5
9           136     5
9           137     5
9           138     5
9           139     5
9           140     5
9           141     5
9           142     5
9           143     5
9           144     5
9           145     5
9           146     5
9           147     5
9           148     5
9           149     5
9           150     5
9           151     5
9           152     5
9           153     5
9           154     5
9           155     5
9           156     5
9           157     5
9           158     5
9           159     5
9           160     5
9           161     5
9           162     5
9           163     5
9           164     5
9           165     5
9           166     5
9           167     5
9           168     5
9           169     5
9           170     5
9           171     5
9           172     5
9           173     5
9           174     5
9           175     5
9           176     5
9           177     5
9           178     5
9           179     5
9           180     5
9           181     5
9           182     5
9           183     5
9           184     5
9           185     5
9           186     5
9           187     5
9           188     5
9           189     5
9           190     5
9           191     5
9           192     5
9           193     5
9           194     5
9           195     5
9           196     5
9           197     5
9           198     5
9           199     5
9           200     5
9           201     5
9           202     5
9           203     5
9           204     5
9           205     5
9           206     5
9           207     5
9           208     5
9           209     5
9           210     5
9           232     5
9           233     5
9           234     5
9           235     5
9           236     5
9           237     5
9           238     5
9           239     5
9           240     5
9           241     5
9           242     5
9           243     5
9           244     5
9           245     5
9           246     5
9           247     5
9           248     5
9           249     5
9           250     5
9           251     5
9           252     5
9           253     5
9           254     5
9           255     5
9           256     5
9           257     5
9           258     5
9           259     5
9           260     5

9           211     5
9           212     5
9           213     5
9           214     5
9           215     5
9           216     5
9           217     5
9           218     5
9           219     5
9           220     5
9           221     5
9           222     5
9           223     5
9           224     5
9           225     5
9           226     5
9           227     5
9           228     5
9           229     5
9           230     5



10          44     5
10          45     5
10          46     5
10          47     5
10          48     5
10          49     5
10          50     5
10          51     5
10          52     5
10          53     5
10          54     5
10          55     5
10          56     5
10          57     5
10          58     5
10          74     5
10          75     5
10          76     5


10           86     5
10           87     5
10           88     5
10           89     5
10           90     5
10           91     5
10           92     5
10           93     5
10           94     5
10           95     5
10           96     5
10           97     5
10           98     5
10           99     5
10           100     5
10           101     5
10           102     5
10           103     5
10           104     5
10           105     5
10           106     5
10           107     5
10           108     5
10           109     5
10           110     5
10           111     5
10           112     5
10           113     5
10           114     5
10           115     5
10           116     5
10           117     5
10           118     5
10           119     5
10           120     5
10           121     5
10           122     5
10           123     5
10           124     5
10           125     5
10           126     5
10           127     5
10           128     5
10           129     5
10           130     5
10           131     5
10           132     5
10           133     5
10           134     5
10           135     5
10           136     5
10           137     5
10           138     5
10           139     5
10           140     5
