//Index   Message
0         "[Huyết Lâu] sẽ đóng cửa sau %d phút"
1         "[Huyết Lâu] Đóng cửa"
2         "[Huyết Lâu] %d bắt đầu sau %d phút"
3         "[Huyết Lâu] bắt đầu"
4         "Tất cả quái vật đã bị đánh bại"
5         "Tất cả BOSS đã bị đánh bại"
6         "Blood Castle kết thúc"
7         "Bạn không đủ mạnh để tham gia Blood Castle"
8         "Người chơi %s đã rớt vũ khí Angel"
9         "Người chơi %s đã nhặt vũ khí Angel"
10        "Người chơi %s phá hủy cánh cổng castle"
11        "Người chơi %s phá hủy bức tượng"
16        "[Hỗn Nguyên Lâu] sẽ đóng cửa sau %d phút"
17        "[Hỗn Nguyên Lâu] đóng cửa"
18        "[Hỗn Nguyên Lâu] %d bắt đầu sau %d phút"
19        "[Hỗn Nguyên Lâu] bắt đầu"
20        "[Hỗn Nguyên Lâu] kết thúc"
32        "TK Miễn phí"
33        "TK Đồng"
34        "TK Bạc"
35        "TK Vàng"
36        "Thu được %d %s"
37        "Bạn đã giết một con chó săn"
38        "Bạn nhận được %d WC"
39        "Bạn nhận được %d WP"
40        "Bạn nhận được %d Gobilpoin"
41        "Bạn nhận được %d Ruud"
42        ""
43        ""
44        ""
45        ""
46        "Đại quỷ đã tấn công Debender"
47       "Sự kiện Boss Ma Thần đã Bắt Đầu!"
48       "Sự kiện Boss Ma Thần đã Kết Thúc!"
49        ""
50        "Người chơi %s đã phá hủy Trứng nhện"
51		  "%s đang tiêu diệt Thỏ Ngọc."
52		  "%s đang tiêu diệt Thần Rừng."
53        "[Nhóm] "
54        "[Hội] "
55        "[Liên Minh] "
56        "[Gia Tộc] "
57        "[Riêng] "
58        ""
64        "Bạn không có quyền sử dụng"
65        "Bạn cần %d level để sử dụng /post"
66        "Bạn cần %d reset để sử dụng /post"
67        "Bạn cần %d zen để sử dụng /post"
68        "Bạn cần chờ %d giây để sử dụng /post"
69        "%s"
70        "Bạn không có quyền sử dụng /add"
71        "Lệnh này chỉ dùng cho Chúa Tể"
72        "Bạn không đủ điểm để cộng"
73        "Bạn cần %d zen để sử dụng /add"
74        "Bạn đã dùng %d points, còn dư %d"
75        "Bạn không có quyền sử dụng /pkclear"
76        "Bạn không phải sát thủ"
77        "Bạn cần %d zen để sử dụng /pkclear"
78        "Rửa tội thành công"
79        "Bạn không có quyền sử dụng /money"
80        "Bạn nhập sai giá trị"
81        "Bạn không có quyền sử dụng /change"
82        "Bạn cần %d zen để sử dụng /change"
83        "Bạn đã làm nhiệm vụ cuối cùng"
84        "Thăng cấp nhiệm vụ thành công"
85        "Bạn không có quyền sử dụng /ware"
86        "Bạn không thể sử dụng /ware tại thời điểm này"
87        "Bạn nhập sai giá trị (max 10)"
88        "Chuyển sang rương đồ %d"
89        "Bạn không có quyền sử dụng Reset"
90        "Bạn không thể Reset tại thời điểm này"
91        "Bạn cần %d level để Reset"
92        "Bạn cần %d zen để Reset"
93        "Bạn không thể reset quá %d"
94        "You can not reset with items equipped"
95        "Resets thành công, bạn có %d reset"
96        "Bạn không có quyền sử dụng /gmmove"
97        "Mục tiêu không hợp lệ /gmmove"
98        "Bạn không có quyền sử dụng /gmpost"
99        "Bạn không có quyền sử dụng /track"
100       "Mục tiêu không hợp lệ"
101       "Bạn không có quyền sử dụng /trace"
102       "Mục tiêu không hợp lệ /trace"
103       "Bạn không có quyền sử dụng /disconnect"
104       "Mục tiêu không hợp lệ /disconnect"
105       "Bạn không có quyền sử dụng /fireworks"
106       "Bạn không có quyền sử dụng /make"
107       "Tạo item thành công"
108       "Bạn không có quyền sử dụng /skin"
109       "Mục tiêu không hợp lệ /skin"
110       "Bạn không có quyền sử dụng /setmoney"
111       "Mục tiêu không hợp lệ /setmoney"
112       "Bạn nhập sai giá trị /setmoney"
113       "Bạn không có quyền sử dụng /notice"
114       "Tự động cộng điểm: On (%d)"
115       "Tự động cộng điểm: Off"
116       "Chế độ tự động reset đã kích hoạt"
117       "Chế độ tự động reset đã tắt"
118       "Bạn chưa đủ điều kiện để tiến hành Relife"
119       "Bạn không thể Relife tại thời điểm này"
120       "Bạn còn thiếu %d Levels để tiến hành Relife"
121       "Bạn còn thiếu %d Resets để tiến hành Relife"
122       "Bạn cần %d zen để sử dụng Relife"
123       "Bạn không thể Relife vượt mức %d "
124       "Bạn không thể Relife vì thiếu vật phẩm yêu cầu"
125       "Relife thành công , Bạn đã Relife %d lần."
126       "Requests as received: Connected"
127       "Requests received: Off"
128       "Requests as received: Automatic"
129       "Bạn chỉ có thể reset %d trong ngày"
130       "Bạn chỉ có thể reset %d trong tuần"
131       "Bạn chỉ có thể reset %d trong tháng"
132       "Bạn chỉ có thể Relife %d trong ngày"
133       "Bạn chỉ có thể Relife %d trong tuần"
134       "Bạn chỉ có thể Relife %d trong tháng"
135       "Bạn không có quyền sử dụng /hide"
144       "[Quảng Trường Quỷ] sẽ đóng cửa sau %d phút"
145       "[Quảng Trường Quỷ] đóng cửa"
146       "[Quảng Trường Quỷ] %d bắt đầu sau %d phút"
147       "[Quảng Trường Quỷ] Bắt đầu"
148       "[Quảng Trường Quỷ] kết thúc"
149       "Bạn không đủ mạnh để tham gia Devil Square"
153       "Vui lòng rửa tội trước"
160			"[Quyết Đấu] Người chơi không Online"
161			"[Quyết Đấu] Bạn không thể thách đấu trong thời điểm này"
162			"[Quyết Đấu] Người chơi tự dộng từ chối lời mời thách đấu của bạn"
163			"[Quyết Đấu] Đã gửi lời thách đấu đến đối phương"
164			"[Quyết Đấu] Người chơi đã được yêu cầu đấu thách đấu"
165			"[Quyết Đấu] Bạn không thể thách đấu khi đang chiến Guild"
166			"[Quyết Đấu] Người chơi không thể đấu trong Chiến Guild"
167			"[Quyết Đấu] Bạn không thể thách đấu tại map này"
168			"[Quyết Đấu] Bạn không thể đấu trong Castle Siege"
169			"[Quyết Đấu] Không có người chơi nào tên như vậy"
170			"[Quyết Đấu] Bạn đang trong trạng thái chiến đấu"
171			"[Quyết Đấu] Người chơi này đang trong trạng thái chiến đấu"
172			"[Quyết Đấu] Người chơi từ chối yêu cầu của bạn"
173			"[Quyết Đấu] Tất cả đầu trường đã đầy"
174			"[Quyết Đấu] %s vs %s Bắt đầu!"
175			"[Quyết Đấu] Người chơi %s chiến thắng %s trong đấu trường!"
176       "Bạch long điện sẽ đóng cửa sau %d phút"
177       "Bạch long điện đóng cửa"
178       "Bạch long điện %d bắt đầu sau %d giây"
179       "Bạch long điện bắt đầu"
180       "Bạch long điện kết thúc"
181       "Bạn không đủ mạnh để tham gia Bạch long điện"
182       "Bạn không có vé để tham gia Bạch long điện"
183       "%s rớt Long Châu"
184       "%s nhặt Long Châu"
185       "%s đã tiêu diệt Quỷ Vương"
186       "%s đã tiêu diệt Triệu Tử Long !"
187       "Sự kiện Boss Quỷ Vương đã Bắt Đầu!"
188       "Sự kiện Boss Quỷ Vương đã Kết Thúc!"
189       "Sự kiện Thanh Long Tái Thế đã Bắt Đầu!"
190       "Sự kiện Thanh Long Tái Thế đã Kết Thúc!"
191       "Sự kiện Triệu Long Võ Tôn Đã Bắt Đầu Tại Raklion!"
192       "Sự kiện Triệu Long Võ Tôn Đã Kết Thúc!"
193       "Các Boss Vàng đã xuất hiện trên lục địa MU !!!"
194       "Sự kiện Boss Nhện bắt đầu!"
195       "Sự Kiện Đệ Nhất Kiếm Ma bắt đầu!"
196       "Sự Kiện King Wolf bắt đầu!! "
197       "[BLUE EVENT] binh đoàn thỏ trắng xuất hiện!"
198       "Boss Selupan bắt đầu!"
199       "Sự kiện Boss Chiến Thần bắt đầu Xuất Hiện!"
200       "Sự kiện Medusa Bắt Đầu Tại Map Icarus!"
201       "Sự kiện Medusa Đã Rút Lui!"
202       "%s tiêu diệt Kiếm Vương"
203       "%s tiêu diệt Rồng đỏ!"
204       "%s tiêu diệt Boss Kundun !!!"
205       "%s tiêu diệt Rồng Thiêng!"
206       "%s tiêu diệt Quỷ Vương!"
207       "%s tiêu diệt Medusa!"
208       "Thương nhân Moss xuất hiện!"
209       "Thương nhân Moss rời đi!"
210       "%s tiêu diệt Kỵ Sỹ Hắc Am!"
211       "Người chơi %s đã tiêu diệt Kundun Gold!"
212       "Sự kiện Tử Thần Xương Sọ đã Bắt Đầu!"
213       "Sự kiện Tử Thần Xương Sọ đã Kết Thúc!"
214       "Sự kiện Boss Rồng Đỏ đã Bắt Đầu!"
215       "Sự kiện Boss Rồng Đỏ đã Kết Thúc!"
216       "Sự kiện Kỵ Sĩ Hắc Ám đã Bắt Đầu!"
217       "Sự kiện Kỵ Sĩ Hắc Ám đã Kết Thúc!"
218       "Sự kiện Thần Forest đã Bắt Đầu!"
219       "Sự kiện Thần Forest đã Kết Thúc!"
220       "Sự kiện Boss Thỏ Ngọc đã Bắt Đầu!"
221       "Sự kiện Boss Thỏ Ngọc đã Kết Thúc!"
222       "Sự kiện Đại Chiến Siêu Boss đã Bắt Đầu!"
223       "Sự kiện Đại Chiến Siêu Boss đã Kết Thúc!"
224       "Bạn cần %d level để di chuyển"
225       "Bạn cần %d zen để move"
226       "Bạn không thể move tại thời điểm hiện tại"
227       "Assassins can not move"
228       "Bạn không thể di chuyển tại thời điểm này"
229       "Chỉ có thành viên trong Gens mới có thể move"
230       "Bạn cần ít nhất %d level để di chuyển"
