//Index   Name                    RequireMoney   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel   Gate
1         "Arena"                 2000           50         10000       *          *          *              50
2         "Lorencia"              2000           10         10000       *          *          *              17
3         "Noria"                 2000           10         10000       *          *          *              27
31        "Elbeland"              2000           10         10000       *          *          *              267
32        "Elbeland2"             2500           10         10000       *          *          *              268
43        "Elbeland3"             3000           10         10000       *          *          *              269
4         "Devias"                2000           20         10000       *          *          *              22
5         "Devias2"               2500           20         10000       *          *          *              72
6         "Devias3"               3000           20         10000       *          *          *              73
7         "Devias4"               3500           20         10000       *          *          *              74
8         "Dungeon"               3000           30         10000       *          *          *              2
9         "Dungeon2"              3500           40         10000       *          *          *              6
10        "Dungeon3"              4000           50         10000       *          *          *              10
11        "Atlans"                4000           70         10000       *          *          *              49
12        "Atlans2"               4500           80         10000       *          *          *              75
13        "Atlans3"               5000           90         10000       *          *          *              76
14        "LostTower"             5000           50         10000       *          *          *              42
15        "LostTower2"            5500           50         10000       *          *          *              31
16        "LostTower3"            6000           50         10000       *          *          *              33
17        "LostTower4"            6500           60         10000       *          *          *              35
18        "LostTower5"            7000           60         10000       *          *          *              37
19        "LostTower6"            7500           70         10000       *          *          *              39
20        "LostTower7"            8000           70         10000       *          *          *              41
21        "Tarkan"                8000           140        10000       *          *          *              57
22        "Tarkan2"               8500           140        10000       *          *          *              77
25        "Aida1"                 8500           150        10000       *          *          *              119
27        "Aida2"                 8500           150        10000       *          *          *              140
23        "Icarus"                10000          170        10000       *          *          *              63
26        "Crywolf"               0              10         10000       *          *          *              118
28        "Kanturu_ruin1"         9000           160        10000       *          *          *              138
29        "Kanturu_ruin2"         9000           160        10000       *          *          *              141
45        "Kanturu_ruin_island"   15000          160        10000       *          *          *              334
30        "Kanturu_Remain"        12000          230        10000       *          *          *              139
46        "Karutan1"              13000          170        10000       *          *          *              335
47        "Karutan2"              14000          170        10000       *          *          *              344
34        "Raklion"               15000          280        10000       *          *          *              287
33        "Swamp_of_Calmness"     15000          400        10000       *          *          *              273
42        "Vulcanus"              15000          30         10000       *          *          *              294
48        "LorenMarket"           0              1          10000       *          *          *              333
24        "LorenDeep"             0              150        10000       *          *          *              106
26        "Crywolf"               27000          150        10000       *          *          *              118
53        "Barracks"              28000          150        10000       *          *          *              256
44        "Refuge"                10000          400        1000       *          *          0              257

54        "ArenaVIP"              2000           010        10000       *          *          3              703

//83        "Acheron"		  	  145000		 100	    32000	   *          *          0              443
//84        "Debenter"		  	  300000		 250	    32000	   *          *          0              452
//85        "Uruk"		  		  350000		 300	    32000	   *          *          0              453
//86        "Ferea"		  		  500000		 350	    32000	   *          *          0              454
//87        "Nars"              	  15000          300        1000       *          *          0              488
//88        "Nixies_Lake"           0              10         1000       *          *          0              455
//89        "Depp_Dungeon1"         15000          300        1000       *          *          0              456
//90        "Depp_Dungeon2"         0              10         1000       *          *          0              457
//91        "Depp_Dungeon3"         15000          300        1000       *          *          0              458
//92        "Depp_Dungeon4"         0              10         1000       *          *          0              459
//94        "Swamp_Of_Darkness"     0              10         1000       *          *          0              461
//95        "kubera_Mine"	 		  0              10         1000       *          *          0              460

end
