//Index	Slot	Skill	X	Y	Serial	Option	Drop	Name							level	DamageMin	DamageMax	AttackSpeed	Dur	MagicDur	MagicPW	 ReqLvl	ReqStr	ReqDex	ReqEne	ReqVit	ReqLead	SetAttr	DW/SM	DK/BK	ELF/ME	MG	 DL 	SUM	RF
0                                                                                                                                                                                                                                               
0		0		0		1	2		1	  1		0	"[C1]Chùy Thủ"						6			6			11			50		20	   0		0		   0	40		40		 0		 0		 0		0		  1		  1		 1		 1	  1		1	1
1		0		0		1	3		1	  1		0	"[C1]Đoản Đao"						3			3			7			20		22	   0		0		   0	60		0		 0		 0		 0		0		  1		  1		 1		 1	  1		1	1
2		0		0		1	3		1	  1		0	"[C1]Trường Kiếm"					9			9			15			40		23	   0		0		   0	50		40		 0		 0		 0		0		  0		  1		 1		 1	  1		1	0
3		0		20		1	3		1	  1		0	"[C1]Kiếm Nhật"						16			16			26			35		27	   0		0		   0	80		40		 0		 0		 0		0		  0		  1		 0		 1	  1		0	0
4		0		21		1	3		1	  1		0	"[C1]Đao Sát Thủ"					12			12			18			30		24	   0		0		   0	60		40		 0		 0		 0		0		  0		  1		 0		 1	  1		0	0
5		0		22		1	3		1	  1		0	"[C2]Khoái Đao"						36			36			47			30		39	   0		0		   0	80		50		 0		 0		 0		0		  1		  1		 1		 1	  1		0	0
6		0		20		1	3		1	  1		0	"[C1]Kiếm La Mã"					20			20			30			20		30	   0		0		   0	110		0		 0		 0		 0		0		  0		  1		 1		 1	  1		0	0
7		0		21		1	3		1	  1		0	"[C1]Mã Tấu"						24			24			34			25		34	   0		0		   0	120		0		 0		 0		 0		0		  0		  1		 0		 1	  1		0	0
8		0		21		1	3		1	  1		0	"[C1]Xà Đao"						30			30			40			20		36	   0		0		   0	130		0		 0		 0		 0		0		  0		  1		 0		 1	  1		0	0
9		0		20		2	3		1	  1		0	"[C2]Kiếm Rồng Lửa"					32			32			46			30		40	   0		0		   0	103		0		 0		 0		 0		0		  0		  1		 0		 1	  0		0	0
10		0		22		2	4		1	  1		0	"[C3]Kiếm Ánh Sáng"					40			47			61			25		50	   0		0		   0	80		60		 0		 0		 0		0		  0		  1		 1		 1	  0		0	0
11		0		20		2	3		1	  1		0	"[C3]Kiếm Ma Thuật"					44			56			72			20		54	   0		0		   0	120		0		 0		 0		 0		0		  0		  1		 0		 1	  0		0	0
12		0		19		2	3		1	  1		0	"[C3]Thái Dương Kiếm"				56			73			98			25		66	   0		0		   0	140		0		 0		 0		 0		0		  0		  1		 0		 1	  0		0	0
13		0		22		1	3		1	  1		0	"[C2]Hỏa Đao"						48			48			56			30		43	   0		0		   0	70		70		 0		 0		 0		0		  0		  1		 1		 1	  0		0	0
14		0		22		1	3		1	  1		0	"[C3]Kiếm Điện"						59			59			67			30		50	   0		0		   0	90		50		 0		 0		 0		0		  0		  1		 1		 1	  0		0	0
15		0		23		2	3		1	  1		0	"[C3]Thiết Kiếm"					52			60			85			20		60	   0		0		   0	140		0		 0		 0		 0		0		  0		  1		 0		 1	  0		0	0
16		0		22		1	4		1	  1		0	"[C4]Kiếm Hủy Diệt"					82			82			90			35		84	   0		0		   0	160		60		 0		 0		 0		0		  0		  1		 0		 1	  0		0	0
17		0		23		2	4		1	  1		0	"[C5]Thiên Ma Kiếm"					80			128			153			40		89	   0		0		   0	180		50		 0		 0		 0		0		  0		  2		 0		 0	  0		0	0
18		0		23		2	3		1	  1		0	"[C6]Lôi Phong Đao"					80			140			168			40		86	   0		0		   0	180		50		 0		 0		 0		0		  0		  0		 0		 1	  0		0	0
19		0		22		1	4		1	  1		0	"Thiên Tử Kiếm"						115			160			200			35		100	   0		0		   0	140		50		 0		 0		 0		0		  0		  1		 0		 0	  0		0	0
20		0		22		1	4		1	  1		0	"[C7]Cuồng Phong Đao"				80			107			115			35		90	   0		0		   0	116		38		 0		 0		 0		0		  0		  2		 0		 0	  0		0	0
21		0		56		2	4		1	  1		0	"[C7]Đao Sinh Mệnh"					80			115			142			40		100	   0		115		   0	116		53		 9		 0		 0		0		  0		  0		 0		 1	  0		0	0
22		0		22		1	4		1	  1		0	"[380]Đao Quyền Năng"				80			122			135			40		95	   0		0		   380	100		35		 0		 0		 0		0		  0		  2		 0		 0	  0		0	0
23		0		56		2	4		1	  1		0	"[380]Đao Hồng Long"				100			127			155			45		110	   0		134		   380	98		48		 7		 0		 0		0		  0		  0		 0		 1	  0		0	0
24		0		22		2	4		1	  1		0	"[C6]Ỷ Thiên Đao"					80			182			218			40		90	   0		0		   0	192		30		 0		 0		 0		0		  0		  2		 0		 0	  0		0	0
25		0		56		2	4		1	  1		0	"[C6]Hỏa Tinh Kiếm"					80			109			136			40		90	   0		108		   0	136		57		 9		 0		 0		0		  0		  0		 0		 1	  0		0	0
26		0		22		1	4		1	  1		0	"[400]Hỏa Long Kiếm"				130			115			126			40		90	   0		0		   380	193		53		 0		 0		 0		0		  0		  2		 0		 0	  0		0	0
27		0		22		1	4		1	  1		0	"[400]Ngọc Bích Kiếm"				130			91			99			35		90	   0		0		   380	53		176		 0		 0		 0		0		  0		  2		 0		 0	  0		0	0
28		0		56		1	4		1	  1		0	"[400]Bá Vương Kiếm"				130			220			250			45		100	   0		125		   0	116		53		 9		 0		 0		0		  0		  0		 0		 1	  0		0	0
31		0		56		2	4		1	  1		0	"[C5]Ảo Ảnh Đao"					80			104			130			35		93	   0		104		   0	135		62		 9		 0		 0		3		  0		  0		 0		 1	  0		0	0
32		0		260		1	2		1	  1		0	"[C5]Nắm Đấm Địa Long"				52			52			58			25		65	   0		0		   0	85		35		 0		 0		 0		1		  0		  0		 0		 0	  0		0	1
33		0		261		1	2		1	  1		0	"[C6]Nắm Đấm Bạch Hổ"				82			82			88			30		77	   0		0		   0	100		50		 0		 0		 0		0		  0		  0		 0		 0	  0		0	1
34		0		260		1	2		1	  1		0	"[C7]Nắm Đấm Quyền Lực"				80			95			101			35		86	   0		0		   0	120		60		 0		 0		 0		0		  0		  0		 0		 0	  0		0	1
35		0		270		1	2		1	  1		0	"[380]Vuốt Phượng Hoàng"			100			122			135			40		95	   0		0		   380	100		35		 0		 0		 0		0		  0		  0		 0		 0	  0		0	3
36		0		22		1	4		1	  1		0	"Kiếm Bão Táp"						145			163			210			40		100	   0		0		   380	182		50		 0		 0		 0		0		  0		  3		 0		 0	  0		0	0
37		0		23		2	4		1	  1		0	"Tình Kiếm"							145			163			216			30		130	   0		0		   380	182		50		 0		 0		 0		0		  0		  3		 0		 3	  0		0	0
38		0		56		1	4		1	  1		0	"Kiếm Hỏa Thiên"					145			230			265			30		130	   0		130		   380	182		50		 0		 0		 0		0		  0		  0		 0		 3	  0		0	0
42		0		22		1   4       1     1     0	"Kiếm Huyết Thần"					160     	210         240			40      100    0        0          380  165     51		 0		 0       0      0    	  0       3      0       0    0     0   0
44		0		56		1   4       1     1     0	"Kiếm Huyết Thần (Phép)"			160     	223         250			45      100    0        170        380  120     72		 0		 0       0      0    	  0       0      0       3    0     0   0
46		0		270		1   2       1     1     0	"Vuốt Huyết Thần"					160     	147         157			35      100    0        0          380  95      30		 0		 0       0      0    	  0       0      0       0    0     0   3
51		0		22		1   4       1     1     0	"Thiên Tử Kiếm (Cấp 2)"				200     	200         230			45      170    0        0          0    60      30		 0		 0       0      0    	  0       3      0       0    0     0   0
52		0		270		1	2		1	  1		0	"Vuốt Điện"							145			125			145			40		100	   0		0		   380	78		25		 0		 0		 0		0		  0		  0		 0		 0	  0		0	3
53		0		270		1	2		1	  1		0	"Vuốt Rồng"							145			155			199			40		95	   0		0		   380	82		28		 0		 0		 0		0		  0		  0		 0		 0	  0		0	3
